"Alpha3_Code","Author","Family_mapping","Identifier","IsscaapGrp_mapping","Name_Ar","Name_Cn","Name_En","Name_Es","Name_Fr","Name_Ru","Order_mapping","Scientific_Name","Sort","Taxonomic_Code","Unit"
"LAS","","PETROMYZONTIDAE","2000","25","","","Lampreys NEI","Lampreas NEP","Lamproies NCA","Миноговые","PETROMYZONTIFORMES","Petromyzontidae","25102001000000000","1020010XXXXX","t"
"LAR","(Linnaeus 1758)","PETROMYZONTIDAE","2002","25","","","River lamprey","Lamprea de río","Lamproie de rivière","Минога речная","PETROMYZONTIFORMES","Lampetra fluviatilis","25102001002603000","102001002603","t"
"SBL","(Bonnaterre 1788)","HEXANCHIDAE","2003","38","","","Bluntnose sixgill shark","Cañabota gris","Requin griset","","HEXANCHIFORMES","Hexanchus griseus","38103102001401000","103102001401","t"
"NTC","(Péron 1807)","HEXANCHIDAE","2004","38","","","Broadnose sevengill shark","Cañabota gata","Platnez","","HEXANCHIFORMES","Notorynchus cepedianus","38103102001801000","103102001801","t"
"BSK","(Gunnerus 1765)","CETORHINIDAE","2005","38","","","Basking shark","Peregrino","Pèlerin","Акула гигантская","LAMNIFORMES","Cetorhinus maximus","38106007001001000","106007001001","t"
"CCT","Rafinesque 1810","CARCHARIIDAE","2006","38","قِرش ثَور","锥齿鲨","Sand tiger shark","Toro bacota","Requin taureau","","LAMNIFORMES","Carcharias taurus","38106002001001000","106002001001","t"
"THR","","ALOPIIDAE","2007","38","","","Thresher sharks NEI","Zorros NEP","Renards de mer NCA","","LAMNIFORMES","Alopias spp","38106006001000000","1060060010XX","t"
"ALV","(Bonnaterre 1788)","ALOPIIDAE","2008","38","القرش الثّعلب","狐形长尾鲨","Thresher","Zorro","Renard","Лисица морская обыкновенная","LAMNIFORMES","Alopias vulpinus","38106006001004000","106006001004","t"
"PTH","Nakamura 1935","ALOPIIDAE","2009","38","","","Pelagic thresher","Zorro pelágico","Renard pélagique","","LAMNIFORMES","Alopias pelagicus","38106006001001000","106006001001","t"
"MAK","","LAMNIDAE","2010","38","السّنفقيات القرشيات","鲭鲨属未定种","Mako sharks","Marrajos","Taupes","","LAMNIFORMES","Isurus spp","38106008001400000","1060080014XX","t"
"SMA","Rafinesque 1810","LAMNIDAE","2011","38","","","Shortfin mako","Marrajo dientuso","Taupe bleue","Акула-мако","LAMNIFORMES","Isurus oxyrinchus","38106008001401000","106008001401","t"
"LMD","Hubbs & Follett 1947","LAMNIDAE","2012","38","","","Salmon shark","Marrajo salmón","Requin-taupe saumon","","LAMNIFORMES","Lamna ditropis","38106008001801000","106008001801","t"
"GNC","(Bonnaterre 1788)","GINGLYMOSTOMATIDAE","2013","38","","","Nurse shark","Gata nodriza","Requin-nourrice","","ORECTOLOBIFORMES","Ginglymostoma cirratum","38105107001001000","105107001001","t"
"CVX","","","2014","38","","","Ground sharks","","","","CARCHARHINIFORMES","Carcharhiniformes","38108000000000000","1080XXXXXXXX","t"
"GAU","","PENTANCHIDAE","2015","38","","","Crest-tail catsharks NEI","Pintarrojas NEP","Chiens galeus NCA","","CARCHARHINIFORMES","Galeus spp","38108002803000000","1080028030XX","t"
"SYC","(Linnaeus 1758)","SCYLIORHINIDAE","2016","38","غرَّاء مُبَقَّعة صغيرة","小点猫鲨","Small-spotted catshark","Pintarroja","Petite roussette","","CARCHARHINIFORMES","Scyliorhinus canicula","38108001102202000","108001102202","t"
"API","","PENTANCHIDAE","2017","38","أقراش المِياه العميقة","光尾鲨未定种","Deep-water catsharks","Pejegatos","Holbiches","","CARCHARHINIFORMES","Apristurus spp","38108002801000000","1080028010XX","t"
"BSH","(Linnaeus 1758)","CARCHARHINIDAE","2018","38","","","Blue shark","Tiburón azul","Peau bleue","Акула синяя","CARCHARHINIFORMES","Prionace glauca","38108008004201000","108008004201","t"
"BLR","(Quoy & Gaimard 1824)","CARCHARHINIDAE","2019","38","","","Blacktip reef shark","Tiburón de puntas negras","Requin pointes noires","","CARCHARHINIFORMES","Carcharhinus melanopterus","38108008001422000","108008001422","t"
"CCR","(Ranzani 1840)","CARCHARHINIDAE","2020","38","","","Smalltail shark","Tiburón poroso","Requin tiqueue","","CARCHARHINIFORMES","Carcharhinus porosus","38108008001426000","108008001426","t"
"FAL","(Bibron 1839)","CARCHARHINIDAE","2021","38","","","Silky shark","Tiburón jaquetón","Requin soyeux","","CARCHARHINIFORMES","Carcharhinus falciformis","38108008001412000","108008001412","t"
"BRO","(Günther 1870)","CARCHARHINIDAE","2022","38","","","Copper shark","Tiburón cobrizo","Requin cuivre","","CARCHARHINIFORMES","Carcharhinus brachyurus","38108008001408000","108008001408","t"
"CCB","(Valenciennes 1839)","CARCHARHINIDAE","2023","38","","","Spinner shark","Tiburón aleta negra","Requin tisserand","","CARCHARHINIFORMES","Carcharhinus brevipinna","38108008001409000","108008001409","t"
"CCM","(Müller & Henle 1839)","CARCHARHINIDAE","2024","38","","","Hardnose shark","Tiburón trompudo","Requin à nez rude","","CARCHARHINIFORMES","Carcharhinus macloti","38108008001421000","108008001421","t"
"CCA","(Springer 1950)","CARCHARHINIDAE","2025","38","","","Bignose shark","Tiburón baboso","Requin babosse","","CARCHARHINIFORMES","Carcharhinus altimus","38108008001403000","108008001403","t"
"NGB","(Poey 1868)","CARCHARHINIDAE","2026","38","","","Lemon shark","Tiburón galano","Requin citron","","CARCHARHINIFORMES","Negaprion brevirostris","38108008003802000","108008003802","t"
"SPY","","SPHYRNIDAE","2027","38","","","Hammerhead sharks, etc. NEI","Cornudas, etc. NEP","Requins marteau, etc. NCA","","CARCHARHINIFORMES","Sphyrnidae","38108010000000000","1080100XXXXX","t"
