"Identifier","SWS_Identifier","Scientific_Name","Taxonomic_Code"
"56200","8000","CRUSTACEA MISCELLANEA","2990"
"56201","8001","ANOMURA","2300"
"56202","8002","BRACHYURA","2310"
"56203","8003","PETROMYZONTIFORMES","1020"
"56204","8004","MYXINIFORMES","1030"
"56205","8005","HETERODONTIFORMES","1040"
"56206","8006","LAMNIFORMES","1060"
"56207","8007","ORECTOLOBIFORMES","1070"
"56208","8008","CARCHARHINIFORMES","1080"
"56209","8009","SQUALIFORMES","1090"
"56210","8010","RAJIFORMES","1105"
"56211","8011","TORPEDINIFORMES","1110"
"56212","8012","CHIMAERIFORMES","1120"
"56213","8013","LEPIDOSIRENIFORMES","1140"
"56214","8014","ACIPENSERIFORMES","1170"
"56215","8015","CLUPEIFORMES","1210"
"56216","8016","GONORYNCHIFORMES","1220"
"56217","8017","SALMONIFORMES","1230"
"56218","8018","ESOCIFORMES","1240"
"56219","8019","STOMIIFORMES","1250"
"56220","8020","OSTEOGLOSSIFORMES","1280"
"56221","8021","AULOPIFORMES","1310"
"56222","8022","MYCTOPHIFORMES","1320"
"56223","8023","CHARACIFORMES","1380"
"56224","8024","CYPRINIFORMES","1400"
"56225","8025","SILURIFORMES","1410"
"56226","8026","ANGUILLIFORMES","1430"
"56227","8027","BELONIFORMES","1470"
"56228","8028","GADIFORMES","1480"
"56229","8029","GASTEROSTEIFORMES","1500"
"56230","8030","SYNGNATHIFORMES","1510"
"56231","8031","BERYCIFORMES","1610"
"56232","8032","ZEIFORMES","1620"
"56233","8033","MUGILIFORMES","1650"
"56234","8034","ATHERINIFORMES","1630"
"56235","8035","SYNBRANCHIFORMES","1680"
"56237","8037","PERCOIDEI","1700"
"56238","8038","ZOARCOIDEI","1710"
"56239","8039","ACANTHUROIDEI","1740"
"56240","8040","SCOMBROIDEI","1750"
"56241","8041","STROMATEOIDEI, ANABANTOIDEI","1760"
"56242","8042","GOBIOIDEI","1730"
"56243","8043","SCORPAENIFORMES","1780"
"56244","8044","OPHIDIIFORMES","1580"
"56245","8045","PLEURONECTIFORMES","1830"
"56246","8046","TETRAODONTIFORMES","1900"
"56247","8047","BATRACHOIDIFORMES","1930"
"56248","8048","LOPHIIFORMES","1950"
"56249","8049","PISCES MISCELLANEA","1990"
"56250","8050","HEXANCHIFORMES","1050"
"56251","8051","CERATODONTIFORMES","1130"
"56252","8052","COELACANTHIFORMES","1150"
"56253","8053","POLYPTERIFORMES","1160"
"56254","8054","AMIIFORMES","1180"
"56255","8055","LEPISOSTEIFORMES","1190"
"56256","8056","NOTACANTHIFORMES","1450"
"56257","8057","SACCOPHARYNGIFORMES","1350"
"56258","8058","LAMPRIFORMES","1520"
"56259","8059","PERCOPSIFORMES","1590"
"56260","8060","GYMNOTIFORMES","1390"
"56261","8061","GOBIESOCIFORMES","1920"
"56262","8062","CYPRINODONTIFORMES","1570"
"56263","8063","CETOMIMIFORMES","1600"
"56264","8064","TRACHINOIDEI","1720"
"56265","8065","OTHER PERCIFORMES","1770"
"56266","8066","NATANTIA","2280"
"56267","8067","CLADOCERA","2010"
"56268","8068","ANOSTRACA","2020"
"56269","8069","THORACICA","2130"
"56270","8070","STOMATOPODA","2250"
"56271","8071","EUPHAUSIACEA","2260"
"56272","8072","REPTANTIA","2290"
"56273","8073","CEPHALOPODA","3210"
"56274","8074","BIVALVIA","3160"
"56275","8075","POLYPLACOPHORA","3030"
"56276","8076","APLACOPHORA","3020"
"56277","8077","SCAPHOPODA","3040"
"56278","8078","MOLLUSCA MISCELLANEA","3990"
"56279","8079","GASTROPODA","3070"
"56280","8080","FISSIPEDIA","4070"
"56281","8081","MYSTICETI","4230"
"56282","8082","ODONTOCETI","4220"
"56283","8083","PINNIPEDIA","4060"
"56284","8084","MAMMALIA MISCELLANEA","4990"
"56285","8085","SIRENIA","4140"
"56286","8086","ANURA","5120"
"56287","8087","TESTUDINES","5310"
"56288","8088","SQUAMATA","5330"
"56289","8089","CROCODILIA","5360"
"56290","8090","ANTHOZOA","6190"
"56291","8091","ASCIDIACEA","6960"
"56292","8092","ASTEROIDEA","6910"
"56293","8093","CTENOPHORA","6200"
"56294","8094","DEMOSPONGIAE","6150"
"56295","8095","ECHINODERMATA","6890"
"56296","8096","ECHINOIDEA","6930"
"56297","8097","HOLOTHUROIDEA","6940"
"56298","8098","HYDROZOA","6170"
"56299","8099","INVERTEBRATA AQUATICA MISCELL.","6990"
"56300","8100","POLYCHAETA","6490"
"56301","8101","SCYPHOZOA","6180"
"56302","8102","SIPUNCULA","6530"
"56303","8103","THALIACEA","6970"
"56304","8104","XIPHOSURA","6560"
"56305","8105","ROTIFERA","6370"
"56306","8106","CHARADRIIFORMES","5680"
"56307","8107","PROCELLARIIFORMES","5610"
"56308","8108","SPHENISCIFORMES","5580"
"56309","8109","ANGIOSPERMAE","7920"
"56310","8110","BACILLARIOPHYCEAE","7210"
"56311","8111","CHLOROPHYCEAE","7410"
"56312","8112","CYANOPHYCEAE","7110"
"56313","8113","DINOPHYCEAE","7310"
"56314","8114","PHAEOPHYCEAE","7710"
"56315","8115","PLANTAE AQUATICAE MISCELLANEA","7990"
"56316","8116","RHODOPHYTA","7870"
"56317","8117","OPHIUROIDEA","6920"
"56318","8118","CRINOIDEA","6950"
"56319","8119","ELOPIFORMES","1290"
"56320","8120","ALBULIFORMES","1300"
"56321","8121","TANAIDACEA","2220"
"56322","8122","ISOPODA","2230"
"56323","8123","AMPHIPODA","2240"
"56324","8124","CICONIIFORMES","5630"
"56325","8125","PYCNOGONIDA","6550"
"56326","8126","COPEPODA","2090"
"56331","8131","XENOPHYOPHORA","6030"
"56332","8132","BRYOZOA","6050"
"56333","8133","GRAPTOLITHOIDEA","6080"
"56334","8134","PORIFERA","6120"
"56335","8135","HEXACTINELLIDA","6140"
"56336","8136","CNIDARIA","6160"
"56337","8137","BRACHIOPODA","6430"
"56338","8138","ANNELIDA","6460"
"56342","8142","CAUDATA","5150"
"56348","8148","ANSERIFORMES","5640"
"56349","8149","FALCONIFORMES","5650"
"56350","8150","GAVIIFORMES","5590"
"56351","8151","PODICIPEDIFORMES","5600"
"56352","8152","CALCAREA","6130"
"56353","8153","PELECANIFORMES","5620"
"56354","8154","APPENDICULARIA","6980"
"56355","56355","MYLIOBATIFORMES","1108"
"56356","56356","RHINOPRISTIFORMES","1103"
"56357","56357","ECHINORHINIFORMES","1091"
"56358","56358","PRISTIOPHORIFORMES","1092"
"56359","56359","SQUATINIFORMES","1093"
"56360","56360","MYSIDA","2231"
"56361","56361","PRIAPULIDA","6500"
"56362","56362","PAVLOVOPHYCEAE","7940"
"56363","56363","EUGLENOIDEA","7950"
"56364","56364","NUDIBRANCHIA","3071"
