"Group","Member"
"7000","12430"
"7000","13762"
"7000","14304"
"7000","14313"
"7001","10841"
"7001","14926"
"7002","11045"
"7002","11333"
"7002","12354"
"7002","12880"
"7002","13415"
"7002","14915"
"7003","12932"
"7003","14671"
"7003","15109"
"7003","16099"
"7004","12887"
"7004","13806"
"7005","12917"
"7005","14167"
"7005","14787"
"7005","15613"
"7005","15713"
"7006","11838"
"7007","6518"
"7007","10445"
"7007","10446"
"7007","10447"
"7007","11655"
"7007","11656"
"7007","11746"
"7007","11747"
"7007","11748"
"7007","11749"
"7007","12231"
"7007","12911"
"7007","12940"
"7007","13399"
"7007","13978"
"7008","10284"
"7008","10285"
"7008","10289"
"7008","10291"
"7008","10334"
"7008","10628"
"7008","11279"
"7008","11280"
"7008","11282"
"7008","11283"
"7008","11604"
"7008","12012"
"7008","12341"
"7008","12403"
"7008","12756"
"7008","12861"
"7008","13745"
"7008","15335"
"7008","16011"
"7008","16017"
"7008","16019"
"7008","16064"
"7009","10355"
"7009","12903"
"7009","14021"
"7010","10280"
"7010","10468"
"7010","10850"
"7010","10946"
"7010","11146"
"7010","11478"
"7010","11513"
"7010","11713"
"7010","12279"
"7010","12280"
"7010","12342"
"7010","12648"
"7010","12778"
"7010","12821"
"7010","13008"
"7010","13047"
"7010","13195"
"7010","13732"
"7010","14038"
"7010","14047"
"7010","14300"
"7010","14301"
"7010","14303"
"7010","14397"
"7010","14462"
"7010","14463"
"7010","14464"
"7010","14547"
"7010","14548"
"7010","14581"
"7010","14685"
"7010","14786"
"7010","15144"
"7010","15711"
"7010","16004"
"7010","16012"
"7010","16024"
"7010","16025"
"7010","20595"
"7011","10199"
"7011","10457"
"7011","10458"
"7011","10469"
"7011","10669"
"7011","11711"
"7011","11864"
"7011","12097"
"7011","12234"
"7011","12245"
"7011","13142"
"7011","13803"
"7011","14025"
"7011","14593"
"7011","14741"
"7011","15022"
"7011","15364"
"7011","19158"
"7012","10201"
"7012","12246"
"7012","13143"
"7012","13259"
"7013","15947"
"7013","19027"
"7014","14586"
"7015","10204"
"7015","12753"
"7015","13985"
"7015","16015"
"7015","20592"
"7016","2212"
"7016","2213"
"7016","3002"
"7016","3003"
"7016","10577"
"7016","11387"
"7016","11845"
"7016","12168"
"7016","12614"
"7016","12615"
"7016","12616"
"7016","12805"
"7016","12806"
"7016","12807"
"7016","12808"
"7016","12809"
"7016","12810"
"7016","13416"
"7016","13798"
"7016","15010"
"7016","15715"
"7016","16055"
"7016","19112"
"7016","19377"
"7016","19399"
"7016","19588"
"7016","20189"
"7016","20192"
"7016","20193"
"7016","20194"
"7016","20195"
"7016","20200"
"7016","20579"
"7017","10644"
"7017","13116"
"7017","13117"
"7017","19068"
"7017","19077"
"7017","19088"
"7017","19089"
"7017","19094"
"7017","19140"
"7018","12702"
"7019","14048"
"7020","10925"
"7020","10959"
"7020","11071"
"7020","12309"
"7020","12368"
"7020","12663"
"7020","12710"
"7020","12783"
"7020","12884"
"7020","12897"
"7020","13371"
"7020","13372"
"7020","13533"
"7020","14133"
"7020","14291"
"7020","14477"
"7020","15486"
"7020","18703"
"7020","18781"
"7021","12441"
"7022","13217"
"7022","13801"
"7022","14478"
"7022","18838"
"7022","20186"
"7023","14050"
"7023","14783"
"7023","19551"
"7023","19552"
"7023","19553"
"7023","19554"
"7023","19555"
"7024","13532"
"7024","13721"
"7024","20143"
"7025","10677"
"7025","12993"
"7025","12994"
"7025","13696"
"7025","13697"
"7025","19582"
"7026","11339"
"7026","11369"
"7026","12925"
"7026","19583"
"7027","13611"
"7028","11866"
"7028","11952"
"7028","12715"
"7028","12862"
"7028","13388"
"7028","15322"
"7028","15535"
"7028","19153"
"7028","19580"
"7028","19581"
"7029","11503"
"7029","19584"
"7029","20177"
"7030","12216"
"7030","12749"
"7030","13772"
"7030","13773"
"7030","15091"
"7030","15961"
"7030","19556"
"7030","19557"
"7031","15266"
"7031","15451"
"7031","18930"
"7032","10169"
"7032","10248"
"7032","10465"
"7032","10514"
"7032","10517"
"7032","10757"
"7032","10947"
"7032","11001"
"7032","11056"
"7032","11089"
"7032","11424"
"7032","11435"
"7032","11768"
"7032","11956"
"7032","11965"
"7032","11986"
"7032","12130"
"7032","12202"
"7032","12404"
"7032","12579"
"7032","12645"
"7032","12833"
"7032","13031"
"7032","13080"
"7032","13127"
"7032","13156"
"7032","13187"
"7032","13363"
"7032","13554"
"7032","13608"
"7032","13612"
"7032","13614"
"7032","13674"
"7032","13908"
"7032","13909"
"7032","13910"
"7032","13919"
"7032","13920"
"7032","14112"
"7032","14297"
"7032","14347"
"7032","14384"
"7032","14385"
"7032","14672"
"7032","14784"
"7032","15119"
"7032","15134"
"7032","15200"
"7032","16029"
"7032","16033"
"7032","18992"
"7032","19561"
"7032","19562"
"7032","19563"
"7032","19564"
"7032","19565"
"7032","19566"
"7032","19567"
"7032","19568"
"7032","19569"
"7032","19570"
"7032","19571"
"7032","19572"
"7032","19573"
"7032","19574"
"7032","19575"
"7032","19576"
"7032","19577"
"7032","19578"
"7032","19579"
"7032","19944"
"7032","19957"
"7032","19966"
"7032","19995"
"7032","20129"
"7032","20460"
"7032","20461"
"7033","11841"
"7033","13771"
"7034","15046"
"7035","12186"
"7036","13522"
"7037","11687"
"7037","13722"
"7038","11839"
"7039","15510"
"7040","10791"
"7040","11928"
"7040","13334"
"7040","13927"
"7040","13928"
"7040","15008"
"7040","15987"
"7041","10711"
"7041","12732"
"7041","13384"
"7041","13426"
"7041","13800"
"7041","14235"
"7041","14283"
"7041","14418"
"7041","14419"
"7041","15050"
"7041","15202"
"7041","15780"
"7041","19457"
"7041","19458"
"7041","19459"
"7041","19460"
"7041","19461"
"7041","19462"
"7042","13097"
"7043","2272"
"7043","13918"
"7043","15540"
"7044","3065"
"7044","11039"
"7044","11040"
"7044","11041"
"7044","11905"
"7044","12446"
"7044","14726"
"7044","14727"
"7044","14728"
"7044","14729"
"7044","18980"
"7044","18981"
"7044","18982"
"7044","19187"
"7044","20105"
"7044","20106"
"7044","20118"
"7044","20119"
"7045","2274"
"7045","2275"
"7045","3066"
"7045","3067"
"7045","3068"
"7045","6294"
"7045","11185"
"7045","11186"
"7045","11187"
"7045","11188"
"7045","11189"
"7045","11190"
"7045","11191"
"7045","11192"
"7045","12802"
"7045","13059"
"7045","13060"
"7045","13061"
"7045","13062"
"7045","14618"
"7045","19283"
"7045","19632"
"7046","2277"
"7046","2278"
"7046","2279"
"7046","2280"
"7046","2281"
"7046","2282"
"7046","2283"
"7046","2284"
"7046","2285"
"7046","3069"
"7046","3070"
"7046","3071"
"7046","3072"
"7046","3073"
"7046","3074"
"7046","3075"
"7046","3076"
"7046","3079"
"7046","3080"
"7046","3081"
"7046","3083"
"7046","3645"
"7046","6310"
"7046","6311"
"7046","6315"
"7046","10211"
"7046","10299"
"7046","10300"
"7046","10436"
"7046","10440"
"7046","10483"
"7046","10656"
"7046","10770"
"7046","10852"
"7046","11042"
"7046","11043"
"7046","11083"
"7046","11204"
"7046","11205"
"7046","11206"
"7046","11207"
"7046","11208"
"7046","11209"
"7046","11210"
"7046","11211"
"7046","11212"
"7046","11213"
"7046","11214"
"7046","11319"
"7046","11601"
"7046","11617"
"7046","11842"
"7046","11886"
"7046","11887"
"7046","11888"
"7046","11889"
"7046","11901"
"7046","11946"
"7046","11999"
"7046","12049"
"7046","12050"
"7046","12051"
"7046","12052"
"7046","12053"
"7046","12054"
"7046","12055"
"7046","12056"
"7046","12057"
"7046","12058"
"7046","12059"
"7046","12060"
"7046","12061"
"7046","12062"
"7046","12063"
"7046","12064"
"7046","12065"
"7046","12066"
"7046","12067"
"7046","12068"
"7046","12069"
"7046","12070"
"7046","12071"
"7046","12072"
"7046","12073"
"7046","12074"
"7046","12075"
"7046","12076"
"7046","12077"
"7046","12078"
"7046","12079"
"7046","12080"
"7046","12081"
"7046","12082"
"7046","12083"
"7046","12084"
"7046","12085"
"7046","12086"
"7046","12087"
"7046","12088"
"7046","12089"
"7046","12090"
"7046","12091"
"7046","12092"
"7046","12093"
"7046","12094"
"7046","12095"
"7046","12326"
"7046","12398"
"7046","12408"
"7046","12418"
"7046","12419"
"7046","12577"
"7046","12723"
"7046","12796"
"7046","12797"
"7046","12798"
"7046","12799"
"7046","12900"
"7046","13101"
"7046","13203"
"7046","13204"
"7046","13306"
"7046","13491"
"7046","13572"
"7046","13573"
"7046","13574"
"7046","13575"
"7046","13576"
"7046","13577"
"7046","13578"
"7046","13579"
"7046","13580"
"7046","13581"
"7046","13582"
"7046","13583"
"7046","13684"
"7046","13792"
"7046","13861"
"7046","13998"
"7046","14105"
"7046","14106"
"7046","14107"
"7046","14108"
"7046","14140"
"7046","14395"
"7046","14427"
"7046","14431"
"7046","14432"
"7046","14433"
"7046","14434"
"7046","14435"
"7046","14471"
"7046","14594"
"7046","14629"
"7046","14630"
"7046","14631"
"7046","14632"
"7046","14663"
"7046","14788"
"7046","14795"
"7046","15042"
"7046","15048"
"7046","15063"
"7046","15133"
"7046","15231"
"7046","15254"
"7046","15256"
"7046","15257"
"7046","15258"
"7046","15259"
"7046","15260"
"7046","15261"
"7046","15734"
"7046","15735"
"7046","15775"
"7046","15838"
"7046","15958"
"7046","18877"
"7046","18913"
"7046","18914"
"7046","18915"
"7046","18916"
"7046","18917"
"7046","18918"
"7046","18919"
"7046","18920"
"7046","18921"
"7046","18922"
"7046","18923"
"7046","18924"
"7046","18925"
"7046","18926"
"7046","18927"
"7046","18943"
"7046","18944"
"7046","18945"
"7046","19041"
"7046","19101"
"7046","19122"
"7046","19318"
"7046","19633"
"7046","19634"
"7046","19635"
"7046","19636"
"7046","19637"
"7046","20012"
"7046","20079"
"7046","20080"
"7046","20087"
"7046","20111"
"7046","20112"
"7046","20116"
"7046","20117"
"7046","20289"
"7046","20417"
"7046","20418"
"7046","20464"
"7046","20465"
"7046","20466"
"7046","20467"
"7046","20468"
"7046","20554"
"7046","20622"
"7046","20623"
"7047","2287"
"7047","2288"
"7047","3084"
"7047","10345"
"7047","12546"
"7047","12634"
"7047","13028"
"7047","13079"
"7047","13435"
"7047","14234"
"7047","14240"
"7047","14378"
"7047","15009"
"7047","15183"
"7047","15543"
"7047","15621"
"7047","15622"
"7047","15623"
"7047","15957"
"7047","19638"
"7048","2289"
"7048","2290"
"7048","2291"
"7048","3085"
"7048","3086"
"7048","3087"
"7048","13535"
"7048","18632"
"7048","19050"
"7049","2292"
"7049","2293"
"7049","2294"
"7049","3082"
"7049","10908"
"7049","11555"
"7049","11974"
"7049","12253"
"7049","13324"
"7049","13325"
"7049","13633"
"7049","13636"
"7049","14266"
"7049","14267"
"7049","14268"
"7049","19883"
"7049","19884"
"7049","20419"
"7050","3089"
"7050","10110"
"7050","10316"
"7050","10530"
"7050","11167"
"7050","12029"
"7050","13118"
"7050","13119"
"7050","13467"
"7050","13468"
"7050","14516"
"7050","14517"
"7051","2295"
"7051","3090"
"7051","3091"
"7051","3650"
"7051","11525"
"7051","12671"
"7051","14546"
"7051","14562"
"7051","18886"
"7051","20016"
"7051","20108"
"7052","2296"
"7052","10476"
"7052","10477"
"7052","10478"
"7052","10526"
"7052","10613"
"7052","11302"
"7052","11533"
"7052","12232"
"7052","12240"
"7052","12351"
"7052","12440"
"7052","12724"
"7052","13006"
"7052","13487"
"7052","13667"
"7052","14298"
