"Item Group","Item Member"
"1601","1401"
"1601","1403"
"1601","1405"
"1601","1407"
"1614","1409"
"1614","1411"
"1614","1412"
"1627","1414"
"1640","1417"
"1653","1419"
"1653","1421"
"1653","1423"
"1662","1425"
"1662","1427"
"1662","1429"
"1662","1432"
"1679","1433"
"1679","1434"
"1679","1436"
"1687","1438"
"1687","1440"
"1687","1442"
"1694","1448"
"1694","1450"
"1601","1402"
"1601","1404"
"1601","1406"
"1601","1408"
"1614","1410"
"1614","1416"
"1627","1413"
"1627","1415"
"1653","1418"
"1653","1420"
"1653","1422"
"1653","1424"
"1662","1426"
"1662","1428"
"1662","1430"
"1670","1431"
"1679","1435"
"1687","1437"
"1687","1441"
"1687","1443"
"1694","1447"
"1694","1449"
