"Group","Member"
"1401","2152"
"1401","2153"
"1401","2154"
"1401","2155"
"1401","2156"
"1401","2157"
"1401","2158"
"1401","2159"
"1401","2160"
"1401","2161"
"1401","2162"
"1401","2163"
"1401","2164"
"1401","2165"
"1401","2166"
"1401","2167"
"1401","2168"
"1401","2169"
"1401","2170"
"1401","2171"
"1401","2173"
"1401","2174"
"1401","2175"
"1401","2177"
"1401","2178"
"1401","2179"
"1401","2953"
"1401","2954"
"1401","2955"
"1401","2956"
"1401","2957"
"1401","2958"
"1401","2959"
"1401","2960"
"1401","2961"
"1401","2962"
"1401","2963"
"1401","2964"
"1401","2965"
"1401","2966"
"1401","2967"
"1401","2968"
"1401","2969"
"1401","2970"
"1401","6782"
"1401","10108"
"1401","10114"
"1401","10116"
"1401","10119"
"1401","10120"
"1401","10124"
"1401","10125"
"1401","10132"
"1401","10146"
"1401","10147"
"1401","10153"
"1401","10154"
"1401","10163"
"1401","10164"
"1401","10165"
"1401","10166"
"1401","10191"
"1401","10195"
"1401","10245"
"1401","10258"
"1401","10259"
"1401","10260"
"1401","10328"
"1401","10329"
"1401","10330"
"1401","10332"
"1401","10354"
"1401","10363"
"1401","10420"
"1401","10455"
"1401","10593"
"1401","10594"
"1401","10597"
"1401","10664"
"1401","10701"
"1401","10706"
"1401","10707"
"1401","10712"
"1401","10713"
"1401","10714"
"1401","10715"
"1401","10716"
"1401","10717"
"1401","10718"
"1401","10720"
"1401","10723"
"1401","10724"
"1401","10725"
"1401","10726"
"1401","10727"
"1401","10728"
"1401","10729"
"1401","10730"
"1401","10731"
"1401","10732"
"1401","10733"
"1401","10734"
"1401","10735"
"1401","10736"
"1401","10737"
"1401","10738"
"1401","10739"
"1401","10740"
"1401","10741"
"1401","10742"
"1401","10743"
"1401","10744"
"1401","10745"
"1401","10746"
"1401","10747"
"1401","10748"
"1401","10749"
"1401","10750"
"1401","10751"
"1401","10752"
"1401","10753"
"1401","10754"
"1401","10755"
"1401","10756"
"1401","10874"
"1401","10883"
"1401","10904"
"1401","10921"
"1401","10922"
"1401","10931"
"1401","10998"
"1401","10999"
"1401","11069"
"1401","11070"
"1401","11078"
"1401","11079"
"1401","11080"
"1401","11121"
"1401","11122"
"1401","11148"
"1401","11153"
"1401","11155"
"1401","11156"
"1401","11157"
"1401","11158"
"1401","11159"
"1401","11202"
"1401","11262"
"1401","11264"
"1401","11278"
"1401","11287"
"1401","11313"
"1401","11314"
"1401","11315"
"1401","11378"
"1401","11379"
"1401","11380"
"1401","11381"
"1401","11382"
"1401","11425"
"1401","11426"
"1401","11427"
"1401","11470"
"1401","11480"
"1401","11481"
"1401","11482"
"1401","11483"
"1401","11484"
"1401","11529"
"1401","11554"
"1401","11587"
"1401","11596"
"1401","11618"
"1401","11621"
"1401","11664"
"1401","11670"
"1401","11672"
"1401","11673"
"1401","11674"
"1401","11736"
"1401","11737"
"1401","11738"
"1401","11739"
"1401","11740"
"1401","11741"
"1401","11742"
"1401","11743"
"1401","11744"
"1401","11773"
"1401","11774"
"1401","11775"
"1401","11776"
"1401","11777"
"1401","11778"
"1401","11830"
"1401","11882"
"1401","11883"
"1401","11906"
"1401","11910"
"1401","11921"
"1401","11982"
"1401","12000"
"1401","12001"
"1401","12025"
"1401","12032"
"1401","12040"
"1401","12102"
"1401","12114"
"1401","12115"
"1401","12125"
"1401","12175"
"1401","12198"
"1401","12213"
"1401","12283"
"1401","12284"
"1401","12285"
"1401","12286"
"1401","12287"
"1401","12288"
"1401","12289"
"1401","12296"
"1401","12328"
"1401","12329"
"1401","12330"
"1401","12331"
"1401","12332"
"1401","12333"
"1401","12348"
"1401","12370"
"1401","12371"
"1401","12373"
"1401","12374"
"1401","12458"
"1401","12494"
"1401","12544"
"1401","12545"
"1401","12582"
"1401","12592"
"1401","12598"
"1401","12600"
"1401","12607"
"1401","12628"
"1401","12632"
"1401","12647"
"1401","12733"
"1401","12751"
"1401","12761"
"1401","12780"
"1401","12781"
"1401","12817"
"1401","12819"
"1401","12830"
"1401","12855"
"1401","12866"
"1401","12871"
"1401","12875"
"1401","12879"
"1401","12916"
"1401","12965"
"1401","12966"
"1401","12967"
"1401","12968"
"1401","12969"
"1401","12970"
"1401","12971"
"1401","12972"
"1401","12973"
"1401","12974"
"1401","12975"
"1401","12976"
"1401","12977"
"1401","12978"
"1401","12979"
"1401","12980"
"1401","12981"
"1401","12982"
"1401","12983"
"1401","12984"
"1401","12985"
"1401","12986"
"1401","12987"
"1401","12988"
"1401","12989"
"1401","12990"
"1401","12991"
"1401","12997"
"1401","13013"
"1401","13014"
"1401","13025"
"1401","13027"
"1401","13065"
"1401","13069"
"1401","13094"
"1401","13095"
"1401","13096"
"1401","13099"
"1401","13105"
"1401","13129"
"1401","13135"
"1401","13136"
"1401","13175"
"1401","13176"
"1401","13177"
"1401","13178"
"1401","13179"
"1401","13180"
"1401","13181"
"1401","13182"
"1401","13231"
"1401","13237"
"1401","13266"
"1401","13304"
"1401","13305"
"1401","13321"
"1401","13322"
"1401","13327"
"1401","13329"
"1401","13366"
"1401","13373"
"1401","13390"
"1401","13401"
"1401","13430"
"1401","13461"
"1401","13464"
"1401","13469"
"1401","13486"
"1401","13497"
"1401","13534"
"1401","13536"
"1401","13537"
"1401","13538"
"1401","13539"
"1401","13600"
"1401","13601"
"1401","13613"
"1401","13621"
"1401","13678"
"1401","13679"
