"Group","Member"
"8000","3486"
"8000","3487"
"8001","16909"
"8002","2650"
"8005","18562"
"8006","18564"
"8007","18565"
"8008","2014"
"8009","2830"
"8010","2845"
"8011","2064"
"8012","3389"
"8015","2073"
"8015","2881"
"8017","2927"
"8025","2180"
"8026","20184"
"8028","2214"
"8037","2273"
"8040","3271"
"8043","20555"
"8045","3345"
"8049","2573"
"8049","2574"
"8049","2575"
"8049","3063"
"8049","3064"
"8049","3382"
"8049","3383"
"8049","3384"
"8049","3385"
"8049","3386"
"8049","3387"
"8049","3388"
"8049","18868"
"8050","18563"
"8066","3397"
"8070","18708"
"8072","2613"
"8072","3441"
"8073","3560"
"8074","2725"
"8078","2726"
"8078","3573"
"8078","3574"
"8079","3488"
"8081","3598"
"8082","3588"
"8083","2727"
"8084","3602"
"8087","3603"
"8087","3604"
"8090","2760"
"8090","18771"
"8090","18772"
"8090","18773"
"8090","18775"
"8090","19154"
"8090","19155"
"8091","3623"
"8092","3617"
"8094","19226"
"8095","2766"
"8096","2767"
"8097","2770"
"8098","19156"
"8098","19238"
"8099","3625"
"8100","2765"
"8101","6528"
"8109","18407"
"8110","18526"
"8111","3626"
"8112","18406"
"8113","18528"
"8114","3628"
"8115","3642"
"8115","3643"
"8116","3634"
"8117","18700"
"8117","19231"
"8117","19240"
"8118","18702"
"8121","18762"
"8122","18763"
"8123","18764"
"8125","18774"
"8126","18942"
"8131","19237"
"8132","19229"
"8133","19236"
"8134","19228"
"8135","19227"
"8136","18863"
"8137","19232"
"8138","19233"
