"CWP_Endorsed","CWP_Handbook_Name","Code","Identifier","Latitude_max","Latitude_min","Local_Name","Longitude_max","Longitude_min","Name_En","Name_Es","Name_Fr","Standard_Regional_Code"
"true","Division 21.0A","21.0.A","501","78.16","66.25","Davis Strait, Baffin Island,","-57.63","-82.22","Atlantic, Northwest / 21.0.A","Atl NW / 21.0.A","Atl NW / 21.0.A","0A"
"true","Division 21.0B","21.0.B","502","66.63","60.2","Davis Strait","-57.22","-68.98","Atlantic, Northwest / 21.0.B","Atl NW / 21.0.B","Atl NW / 21.0.B","0B"
"true","Division 21.1A","21.1.A","503","78.16","68.83","Baffin Bay, Melville Bay, Disko Island","-50","-73.5","Atlantic, Northwest / 21.1.A","Atl NW / 21.1.A","Atl NW / 21.1.A","1A"
"true","Division 21.1B","21.1.B","504","68.83","66.25","Davis Strait, Christianshaab, Store Hellefiske Banke","-50.25","-59.74","Atlantic, Northwest / 21.1.B","Atl NW / 21.1.B","Atl NW / 21.1.B","1B"
"true","Division 21.1C","21.1.C","505","66.55","64.25","Davis Strait, Umanarsugssuak, Little Hellefiske Banke","-51.36","-57.79","Atlantic, Northwest / 21.1.C","Atl NW / 21.1.C","Atl NW / 21.1.C","1C"
"true","Division 21.1D","21.1.D","506","65.22","62.5","Frederikshaab Glacier, Godthaab, Fyllas Banke, Fiskenaes Banke, Danas Banke","-49.64","-58.02","Atlantic, Northwest / 21.1.D","Atl NW / 21.1.D","Atl NW / 21.1.D","1D"
"true","Division 21.1E","21.1.E","507","62.5","60.75","Cape Desolation, Frederikshaab Glacier, Danas Banke","-47.68","-57.54","Atlantic, Northwest / 21.1.E","Atl NW / 21.1.E","Atl NW / 21.1.E","1E"
"true","Division 21.1F","21.1.F","508","61.24","52.25","Cape Desolation, Cape Farewell","-42","-57.22","Atlantic, Northwest / 21.1.F","Atl NW / 21.1.F","Atl NW / 21.1.F","1F"
"true","Division 21.2G","21.2.G","509","61","57.66","Cape Mugford","-52.34","-64.77","Atlantic, Northwest / 21.2.G","Atl NW / 21.2.G","Atl NW / 21.2.G","2G"
"true","Division 21.2H","21.2.H","510","57.66","55","Hopedale, Cape Mugford","-47.9","-62.53","Atlantic, Northwest / 21.2.H","Atl NW / 21.2.H","Atl NW / 21.2.H","2H"
"true","Division 21.2J","21.2.J","511","55.33","52.25","Hopedale, Hamilton Bank","-42","-60.41","Atlantic, Northwest / 21.2.J","Atl NW / 21.2.J","Atl NW / 21.2.J","2J"
"true","Division 21.3K","21.3.K","512","52.25","49.04","Cape Freels, Cape Bauld","-42","-56.87","Atlantic, Northwest / 21.3.K","Atl NW / 21.3.K","Atl NW / 21.3.K","3K"
"true","Division 21.3L","21.3.L","513","49.25","46","Cape Freels, Cape St. Mary's, Grand Bank, Avalon Peninsula, St. John's","-46.5","-54.5","Atlantic, Northwest / 21.3.L","Atl NW / 21.3.L","Atl NW / 21.3.L","3L"
"true","Division 21.3M","21.3.M","514","49.25","39","Flemish Cap","-42","-46.5","Atlantic, Northwest / 21.3.M","Atl NW / 21.3.M","Atl NW / 21.3.M","3M"
"true","Division 21.3N","21.3.N","515","46","39","Grand Bank","-46.5","-51","Atlantic, Northwest / 21.3.N","Atl NW / 21.3.N","Atl NW / 21.3.N","3N"
"true","Division 21.3O","21.3.O","516","46","39.9","Grand Bank","-51","-54.5","Atlantic, Northwest / 21.3.O","Atl NW / 21.3.O","Atl NW / 21.3.O","3O"
"true","Division 21.3P","21.3.P","517","","","Cape St Mary's, St.Pierre and Miquelon Islands, Burin Peninsula","","","Atlantic, Northwest / 21.3.P","Atl NW / 21.3.P","Atl NW / 21.3.P","3P"
"true","Division 21.4R","21.4.R","518","52.25","47.5","Gulf of Saint Lawrence, Cape Bauld , Strait of Belle Isle, Cape Ray","-55.4","-60","Atlantic, Northwest / 21.4.R","Atl NW / 21.4.R","Atl NW / 21.4.R","4R"
"true","Division 21.4S","21.4.S","519","51.51","47.83","Gulf of Saint Lawrence, Labrador-Quebec boundary, P.te des Monts, Anticosti Island","-57.09","-67.3","Atlantic, Northwest / 21.4.S","Atl NW / 21.4.S","Atl NW / 21.4.S","4S"
"true","Division 21.4T","21.4.T","520","49.41","45.54","Gulf of Saint Lawrence, Magdalen Islands","-60","-71.21","Atlantic, Northwest / 21.4.T","Atl NW / 21.4.T","Atl NW / 21.4.T","4T"
"true","Division 21.4V","21.4.V","521","","","Cape North, Fourchu, Eastern Scotland Shelf","","","Atlantic, Northwest / 21.4.V","Atl NW / 21.4.V","Atl NW / 21.4.V","4V"
"true","Division 21.4W","21.4.W","522","45.77","39","Canso, Central Scotian Shelf, Sable Island, Halifax, Nova Scotia Eastern Shore","-59","-63.66","Atlantic, Northwest / 21.4.W","Atl NW / 21.4.W","Atl NW / 21.4.W","4W"
"true","Division 21.4X","21.4.X","523","45.97","39","Western Scotian Shelf, Bay of Fundy, St. Margaret's Bay, Yarmouth, Digby, Grand Manan","-63.33","-67.73","Atlantic, Northwest / 21.4.X","Atl NW / 21.4.X","Atl NW / 21.4.X","4X"
"true","Division 21.5Y","21.5.Y","524","44.81","41.7","Gulf of Maine, Bar Harbor","-66.9","-71","Atlantic, Northwest / 21.5.Y","Atl NW / 21.5.Y","Atl NW / 21.5.Y","5Y"
"true","Division 21.5Z","21.5.Z","525","","","Georges Bank","","","Atlantic, Northwest / 21.5.Z","Atl NW / 21.5.Z","Atl NW / 21.5.Z","5Z"
"true","Division 21.6A","21.6.A","526","44.99","39","Rhode Island Division 21.6A","-71.66","-74.98","Atlantic, Northwest / 21.6.A","Atl NW / 21.6.A","Atl NW / 21.6.A","6A"
"true","Division 21.6B","21.6.B","527","44.99","37","Cape Henry","-70","-77.33","Atlantic, Northwest / 21.6.B","Atl NW / 21.6.B","Atl NW / 21.6.B","6B"
"true","Division 21.6C","21.6.C","528","37.27","34.95","Cape Hatteras","-70","-76.99","Atlantic, Northwest / 21.6.C","Atl NW / 21.6.C","Atl NW / 21.6.C","6C"
"true","Division 21.6D","21.6.D","529","39","35","Rhode Island Division 21.6D","-65","-70","Atlantic, Northwest / 21.6.D","Atl NW / 21.6.D","Atl NW / 21.6.D","6D"
"true","Division 21.6E","21.6.E","530","39","35","Rhode Island Division 21.6E","-60","-65","Atlantic, Northwest / 21.6.E","Atl NW / 21.6.E","Atl NW / 21.6.E","6E"
"true","Division 21.6F","21.6.F","531","39","35","Rhode Island Division 21.6F","-55","-60","Atlantic, Northwest / 21.6.F","Atl NW / 21.6.F","Atl NW / 21.6.F","6F"
"true","Division 21.6G","21.6.G","532","39","35","Rhode Island Division 21.6G","-50","-55","Atlantic, Northwest / 21.6.G","Atl NW / 21.6.G","Atl NW / 21.6.G","6G"
"true","Division 21.6H","21.6.H","533","39","35","Rhode Island Division 21.6H","-42","-50","Atlantic, Northwest / 21.6.H","Atl NW / 21.6.H","Atl NW / 21.6.H","6H"
"true","Northeast Greenland (Division 27.14.a)","27.14.a","534","90","68","","-11","-40","Northeast Greenland (Division 27.14.a)","Groenlandia nordoriental (División 27.14.a)","Groenland nord-est (Division 27.14.a)","27.14.a"
"true","Southeast Greenland (Division 27.14.b)","27.14.b","535","68.64","59","","-27","-44","Southeast Greenland (Division 27.14.b)","Groenlandia sudoriental (División 27.14.b)","Groenland sud-est (Division 27.14.b)","27.14.b"
"true","Norwegian Sea (Division 27.2.a)","27.2.a","536","73.5","62","","30","-11","Norwegian Sea (Division 27.2.a)","Mar de Noruega (División 27.2.a)","Mer de Norvège (Division 27.2.a)","27.2.a"
"true","Spitzbergen and Bear Island (Division 27.2.b)","27.2.b","537","90","73.5","","30","-11","Spitzbergen and Bear Island (Division 27.2.b)","Spitzbergen e Islas Osos (División 27.2.b)","Spitzberg et île aux Ours (Division 27.2.b)","27.2.b"
"true","Skagerrak and Kattegat (Division 27.3.a)","27.3.a","538","59.56","55.65","","12.94","7","Skagerrak and Kattegat (Division 27.3.a)","Skagerrak, Kattegat (División 27.3.a)","Skagerrak et Cattégat (Division 27.3.a)","27.3.a"
"true","Sound and Belt Sea or the Transition Area (Divisions 27.3.b,c)","27.3.b,c","539","","","","","","Sound and Belt Sea or the Transition Area (Divisions 27.3.b,c)","Sundy y Mar de Belt o Zona de Transición (División 27.3.b,c)","Øresund et Mer des Belts, ou Zone de Transition (Division 27.3.b,c)","27.3.b,c"
"true","Baltic Sea (Division 27.3.d)","27.3.d","541","","","","","","Baltic Sea (Division 27.3.d)","Mar Báltico (División 27.3.d)","Mer Baltique (Division 27.3.d)","27.3.d"
"true","Northern North Sea (Division 27.4.a)","27.4.a","542","62","55.9","","7.7","-4.5","Northern North Sea (Division 27.4.a)","Mar del Norte septentrional (División 27.4.a)","Mer du Nord septentrionale (Division 27.4.a)","27.4.a"
"true","Central North Sea (Division 27.4.b)","27.4.b","543","57.5","53.4","","9.83","-3.84","Central North Sea (Division 27.4.b)","Mar del Norte central (División 27.4.b)","Mer du Nord centrale (Division 27.4.b)","27.4.b"
"true","Southern North Sea (Division 27.4.c)","27.4.c","544","53.5","51","","7.42","0","Southern North Sea (Division 27.4.c)","Mar del Norte meridional (División 27.4.c)","Mer du Nord méridionale (Division 27.4.c)","27.4.c"
"true","Iceland Grounds (Division 27.5.a)","27.5.a","545","68","62","","-11","-27","Iceland Grounds (Division 27.5.a)","Fondos de Islandia (División 27.5.a)","Fonds de l'Islande (Division 27.5.a)","27.5.a"
"true","Faroes Grounds (Division 27.5.b)","27.5.b","546","","","","","","Faroes Grounds (Division 27.5.b)","Fondos de las Feroe (División 27.5.b)","Fonds des Féroé (Division 27.5.b)","27.5.b"
