"Code","Name_En","Name_Fr","Name_Es","Name_Ar","Name_Cn","Name_Ru","Ocean_Group_En","Ocean_Group_Fr","Ocean_Group_Es","Ocean_Group_Ar","Ocean_Group_Cn","Ocean_Group_Ru","InlandMarine_Group_En","InlandMarine_Group_Fr","InlandMarine_Group_Es","InlandMarine_Group_Ar","InlandMarine_Group_Cn","InlandMarine_Group_Ru","FARegion_Group_En","FARegion_Group_Fr","FARegion_Group_Es","FARegion_Group_Ar","FARegion_Group_Cn","FARegion_Group_Ru"
"01","Africa - Inland waters","Afrique - Eaux continentales","África - Aguas continentales","","","","","","","","","","Inland waters","Eaux continentales","Aguas continentales","","","","","","","","",""
"02","America, North - Inland waters","Amérique du Nord - Eaux continentales","América del Norte - Aguas continentales","","","","","","","","","","Inland waters","Eaux continentales","Aguas continentales","","","","","","","","",""
"03","America, South - Inland waters","Amérique du Sud - Eaux continentales","América del Sur - Aguas continentales","","","","","","","","","","Inland waters","Eaux continentales","Aguas continentales","","","","","","","","",""
"04","Asia - Inland waters","Asie - Eaux continentales","Asia - Aguas continentales","","","","","","","","","","Inland waters","Eaux continentales","Aguas continentales","","","","","","","","",""
"05","Europe - Inland waters","Europe - Eaux continentales","Europa - Aguas continentales","","","","","","","","","","Inland waters","Eaux continentales","Aguas continentales","","","","","","","","",""
"06","Oceania - Inland waters","Océanie - Eaux continentales","Oceanía - Aguas continentales","","","","","","","","","","Inland waters","Eaux continentales","Aguas continentales","","","","","","","","",""
"07","Former USSR area - Inland waters","Zone de l'ex-URSS - Eaux continentales","Área de la ex URSS - Aguas continentales","","","","","","","","","","Inland waters","Eaux continentales","Aguas continentales","","","","","","","","",""
"18","Arctic Sea","Mer Arctique","Mar Ártico","","","","Atlantic Ocean and adjacent seas","Océan Atlantique et mers limitrophes","Océano Atlántico y mares adyacentes","","","","Marine areas","Zones maritimes","Áreas marítimas","","","","Northern regions","Régions septentrionales","Regiones del Norte","","",""
"21","Atlantic, Northwest","Atlantique, nord-ouest","Atlántico, noroeste","","","","Atlantic Ocean and adjacent seas","Océan Atlantique et mers limitrophes","Océano Atlántico y mares adyacentes","","","","Marine areas","Zones maritimes","Áreas marítimas","","","","Northern regions","Régions septentrionales","Regiones del Norte","","",""
"27","Atlantic, Northeast","Atlantique, nord-est","Atlántico, nordeste","","","","Atlantic Ocean and adjacent seas","Océan Atlantique et mers limitrophes","Océano Atlántico y mares adyacentes","","","","Marine areas","Zones maritimes","Áreas marítimas","","","","Northern regions","Régions septentrionales","Regiones del Norte","","",""
