"Code","Identifier","Name_En","Name_Es","Name_Fr"
"01","1","Africa - Inland waters","África - Aguas continentales","Afrique - Eaux continentales"
"02","2","America, North - Inland waters","América del Norte - Aguas continentales","Amérique du Nord - Eaux continentales"
"03","3","America, South - Inland waters","América del Sur - Aguas continentales","Amérique du Sud - Eaux continentales"
"04","4","Asia - Inland waters","Asia - Aguas continentales","Asie - Eaux continentales"
"05","5","Europe - Inland waters","Europa - Aguas continentales","Europe - Eaux continentales"
"06","6","Oceania - Inland waters","Oceanía - Aguas continentales","Océanie - Eaux continentales"
"07","7","Former USSR area - Inland waters","Área de la ex URSS - Aguas continentales","Zone de l'ex-URSS - Eaux continentales"
"18","8","Arctic Sea","Mar Ártico","Mer Arctique"
"21","9","Atlantic, Northwest","Atlántico, noroeste","Atlantique, nord-ouest"
"27","10","Atlantic, Northeast","Atlántico, nordeste","Atlantique, nord-est"
"31","11","Atlantic, Western Central","Atlántico, centro-occidental","Atlantique, centre-ouest"
"34","12","Atlantic, Eastern Central","Atlántico, centro-oriental","Atlantique, centre-est"
"37","13","Mediterranean and Black Sea","Mediterráneo y Mar Negro","Méditerranée et mer Noire"
"41","14","Atlantic, Southwest","Atlántico, sudoccidental","Atlantique, sud-ouest"
"47","15","Atlantic, Southeast","Atlántico, sudoriental","Atlantique, sud-est"
"48","16","Atlantic, Antarctic","Atlántico, Antártico","Atlantique, Antarctique"
"51","17","Indian Ocean, Western","Océano Índico, occidental","Océan Indien, ouest"
"57","18","Indian Ocean, Eastern","Océano Índico, oriental","Océan Indien, est"
"58","19","Indian Ocean, Antarctic","Océano Índico, Antártico","Océan Indien, Antarctique"
"61","20","Pacific, Northwest","Pacífico, noroeste","Pacifique, nord-ouest"
"67","21","Pacific, Northeast","Pacífico, nordeste","Pacifique, nord-est"
"71","22","Pacific, Western Central","Pacífico, centro-occidental","Pacifique, centre-ouest"
"77","23","Pacific, Eastern Central","Pacífico, centro-oriental","Pacifique, centre-est"
"81","24","Pacific, Southwest","Pacífico, sudoccidental","Pacifique, sud-ouest"
"87","25","Pacific, Southeast","Pacífico, sudoriental","Pacifique, sud-est"
"88","26","Pacific, Antarctic","Pacífico, Antártico","Pacifique, Antarctique"
"98","27","Antarctic areas nei","Áreas antárticas nep","Zones antarctiques nca"
"99","28","Marine areas outside the Antarctic","Áreas marítimas fuera del Antártico","Zones maritimes hors de l'Antarctique"
"08","790","Antarctica - Inland waters","Antártida - Aguas continentales","Antarctique - Eaux continentales"
