"CWP_Endorsed","CWP_Handbook_Name","Code","Identifier","Latitude_max","Latitude_min","Local_Name","Longitude_max","Longitude_min","Name_En","Name_Es","Name_Fr","Standard_Regional_Code"
"true","Subarea 21.0","21.0","301","","","Baffin Island, East Bluff, Bylot Island , Devon Island, Ellesmere Island","","","Atlantic, Northwest / 21.0","Atl NW / 21.0","Atl NW / 21.0","0"
"true","Subarea 21.1","21.1","302","","","Baffin Bay, Davis Strait","","","Atlantic, Northwest / 21.1","Atl NW / 21.1","Atl NW / 21.1","1"
"true","Subarea 21.2","21.2","303","","","Labrador coast","","","Atlantic, Northwest / 21.2","Atl NW / 21.2","Atl NW / 21.2","2"
"true","Subarea 21.3","21.3","304","","","Newfoundland","","","Atlantic, Northwest / 21.3","Atl NW / 21.3","Atl NW / 21.3","3"
"true","Subarea 21.4","21.4","305","","","Northwest Atlantic Subarea 21.4","","","Atlantic, Northwest / 21.4","Atl NW / 21.4","Atl NW / 21.4","4"
"true","Subarea 21.5","21.5","306","","","Georges Bank, Gulf of Maine","","","Atlantic, Northwest / 21.5","Atl NW / 21.5","Atl NW / 21.5","5"
"true","Subarea 21.6","21.6","307","","","Rhode Island","","","Atlantic, Northwest / 21.6","Atl NW / 21.6","Atl NW / 21.6","6"
"true","Barents Sea (Subarea 27.1)","27.1","308","90","63.88","","68.5","25.87","Barents Sea (Subarea 27.1)","Mar de Barents (Subárea 27.1)","Mer de Barents (Sous-zone 27.1)","27.1"
"true","Azores Grounds (Subarea  27.10)","27.10","309","48","36","","-18","-42","Azores Grounds and Northeast Atlantic South (Subarea  27.10)","Fondos de las Azores y Atlántico nordeste del sur (Subárea 27.10)","Fonds des Açores et Atlantique nord-est du sud (Sous-zone 27.10)","27.10"
"true","North of Azores (Subarea 27.12)","27.12","310","62","48","","-15","-42","North of Azores (Subarea 27.12)","Norte de las Azores (Subárea 27.12)","Nord des Açores (Sous-zone 27.12)","27.12"
"true","East Greenland (Subarea 27.14)","27.14","311","","","","","","East Greenland (Subarea 27.14)","Groenlandia oriental (Subárea 27.14)","Groenland est (Sous-zone 27.14)","27.14"
"true","Norwegian Sea, Spitzbergen, and Bear Island (Subarea 27.2)","27.2","312","","","","","","Norwegian Sea, Spitzbergen, and Bear Island (Subarea 27.2)","Mar de Noruega, Spitzbergen e Islas Osos (Subárea 27.2)","Mer de Norvège, Spitzberg et île aux Ours (Sous-zone 27.2)","27.2"
"true","Skagerrak, Kattegat, Sound, Belt Sea, and Baltic Sea (Subarea 27.3)","27.3","313","","","","","","Skagerrak, Kattegat, Sound, Belt Sea, and Baltic Sea (Subarea 27.3)","Skagerrak, Kattegat, Sund,  Mar de Belt y Mar Báltico (Subárea 27.3)","Skagerrak, Cattégat, Sund, Mer des Belts, Mer Baltique (Sous-zone 27.3)","27.3"
"true","North Sea (Subarea 27.4)","27.4","314","","","","","","North Sea (Subarea 27.4)","Mar del Norte (Subárea 27.4)","Mer du Nord (Sous-zone 27.4)","27.4"
"true","Iceland and Faroes Grounds (Subarea 27.5)","27.5","315","","","","","","Iceland and Faroes Grounds (Subarea 27.5)","Fondos de Islandia y de las Feroe (Subárea 27.5)","Fonds d'Islande et des Féroé (Sous-zone 27.5)","27.5"
"true","Rockall, Northwest Coast of Scotland and North Ireland (Subarea 27.6)","27.6","316","","","","","","Rockall, Northwest Coast of Scotland and North Ireland (Subarea 27.6)","Rockall, costa nord-occidental de Escocia e Irlanda del Norte (Subárea 27.6)","Rockall, Côte Nord-Ouest de l'Ecosse et Irlande du Nord (Sous-zone 27.6)","27.6"
"true","Irish Sea, West of Ireland, Porcupine Bank, Eastern and Western English Channel, etc (Subarea 27.7)","27.7","317","","","","","","Irish Sea, West of Ireland, Porcupine Bank, Eastern and Western English Channel, etc (Subarea 27.7)","Mar de Irlanda, Oeste de Irlanda, Porcupine Bank, Canal de La Mancha, etc. (Subárea 27.7)","Mer d'Irlande, Ouest de l'Irlande, Banc de Porcupine, Manche, etc. (Sous-zone 27.7)","27.7"
"true","Bay of Biscay (Subarea 27.8)","27.8","318","","","","","","Bay of Biscay (Subarea 27.8)","Golfo de Vizcaya (Subárea 27.8)","Golfe de Gascogne (Sous-zone 27.8)","27.8"
"true","Portuguese Waters (Subarea 27.9)","27.9","319","","","","","","Portuguese Waters (Subarea 27.9)","Aguas Portuguesas (Subárea 27.9)","Eaux portugaises (Sous-zone 27.9)","27.9"
"false","","31.1","320","34.99","25","","-74.99","-81.6","Atlantic, West central / 31.1","Atl WC / 31.1","Atl WC / 31.1",""
"false","","31.10","321","","","","","","Atlantic, West central / 31.10","Atl WC / 31.10","Atl WC / 31.10",""
"false","","31.11","322","15","5","","-40","-59.5","Atlantic, West central / 31.11","Atl WC / 31.11","Atl WC / 31.11",""
"false","","31.2","323","","","","","","Atlantic, West central / 31.2","Atl WC / 31.2","Atl WC / 31.2",""
"false","","31.3","324","","","","","","Atlantic, West central / 31.3","Atl WC / 31.3","Atl WC / 31.3",""
"false","","31.4","325","","","","","","Atlantic, West central / 31.4","Atl WC / 31.4","Atl WC / 31.4",""
"false","","31.5","326","35","28","","-55","-75","Atlantic, West central / 31.5","Atl WC / 31.5","Atl WC / 31.5",""
"false","","31.6","327","36","15","","-40","-55","Atlantic, West central / 31.6","Atl WC / 31.6","Atl WC / 31.6",""
"false","","31.7","328","","","","","","Atlantic, West central / 31.7","Atl WC / 31.7","Atl WC / 31.7",""
"false","","31.8","329","","","","","","Atlantic, West central / 31.8","Atl WC / 31.8","Atl WC / 31.8",""
"false","","31.9","330","15","8","","-71.12","-77.3","Atlantic, West central / 31.9","Atl WC / 31.9","Atl WC / 31.9",""
"true","Northern Coastal (Subarea 34.1)","34.1","331","","","","","","Northern coastal subarea","Subárea costera norte","Sous-zone côtière nord","34.1"
"true","Northern Oceanic (Subarea 34.2)","34.2","332","36","20","Morocco Northern Oceanic","-20","-40","Northern oceanic subarea","Subárea oceánica norte","Sous-zone océanique nord","34.2"
"true","Southern Coastal (Subarea 34.3)","34.3","333","","","Morocco Southern Coastal","","","Southern coastal subarea","Subárea costera sur","Sous-zone côtière sud","34.3"
"true","Southern Oceanic (Subarea 34.4)","34.4","334","","","","","","Southern oceanic subarea","Subárea oceánica sur","Sous-zone océanique sud","34.4"
"true","Western Mediterranean (Subarea 37.1)","37.1","335","","","","","","Western subarea","Subárea occidental","Sous-zone occidentale","37.1"
"true","Central Mediterranean (Subarea 37.2)","37.2","336","","","","","","Central subarea","Subárea central","Sous-zone centrale","37.2"
"true","Eastern Mediterranean (Subarea 37.3)","37.3","337","","","","","","Eastern subarea","Subárea oriental","Sous-zone orientale","37.3"
"true","Black Sea (Subarea 37.4)","37.4","338","","","","","","Black Sea subarea","Subárea mar Negro","Sous-zone mer Noire","37.4"
"true","Northern (Subarea 41.1)","41.1","339","","","Southwest Atlantic Northern Subarea 41.1","","","Atlantic, Southwest / 41.1","Atl SW / 41.1","Atl SW / 41.1","41.1"
"true","Central (Subarea 41.2)","41.2","340","","","Southwest Atlantic Central Subarea 41.2","","","Atlantic, Southwest / 41.2","Atl SW / 41.2","Atl SW / 41.2","41.2"
"true","Southern (Subarea 41.3)","41.3","341","","","Southwest Atlantic Southern Subarea 41.3","","","Atlantic, Southwest / 41.3","Atl SW / 41.3","Atl SW / 41.3","41.3"
"true","Western Coastal (Subarea 47.1)","47.1","342","","","Southeast Atlantic Western Coastal Subarea 47.1","","","Western coastal subarea","Subárea costera occidental","Sous-zone côtière occidentale","47.1"
"true","Agulhas Coastal (Subarea 47.2)","47.2","343","","","","","","Agulhas coastal subarea","Subárea costera de Agulhas","Sous-zone côtière des Aiguilles","47.2"
"true","Southern Oceanic (Subarea 47.3)","47.3","344","-40","-50","Southeast Atlantic Southern Oceanic Subarea 47.3","30","10","Southern oceanic subarea","Subárea oceánica sur","Sous-zone océanique sud","47.3"
"true","Tristan da Cunha (Subarea 47.4)","47.4","345","-20","-50","","10","-20","Tristan da Cunha subarea","Subárea Tristan da Cunha","Sous-zone Tristan da Cunha","47.4"
"true","St. Helena and Ascension (Subarea 47.5)","47.5","346","-6","-20","","10","-20","St Helena and Ascension subarea","Subárea de Sta Elena y Ascensión","Sous-zone Ste Hélène et Ascension","47.5"
"true","Peninsular (Subarea 48.1)","48.1","347","-60","-69.94","Antarctic Peninsula","-50","-70.02","Atlantic Antarctic / 48.1","Atl Antar / 48.1","Atl Antar / 48.1",""
"true","South Orkney (Subarea 48.2)","48.2","348","-57","-64","","-30","-50","Atlantic Antarctic / 48.2","Atl Antar / 48.2","Atl Antar / 48.2",""
"true","South Georgia (Subarea 48.3)","48.3","349","-50","-57","","-30","-50","Atlantic Antarctic / 48.3","Atl Antar / 48.3","Atl Antar / 48.3",""
"true","South Sandwich (Subarea 48.4)","48.4","350","-50","-64","","-20","-30","Atlantic Antarctic / 48.4","Atl Antar / 48.4","Atl Antar / 48.4",""
"true","Weddel Sea (Subarea 48.5)","48.5","351","-64","-78.11","","-20","-61.8","Atlantic Antarctic / 48.5","Atl Antar / 48.5","Atl Antar / 48.5",""
"true","Bouvet (Subarea 48.6)","48.6","352","-50","-73.2","","30","-20","Atlantic Antarctic / 48.6","Atl Antar / 48.6","Atl Antar / 48.6",""
"true","Red Sea (Subarea 51.1)","51.1","353","29.94","12.68","","43.49","32.34","Red Sea subarea","Subárea mar Rojo","Sous-zone mer Rouge","51.1"
"true","Gulf (Subarea 51.2)","51.2","354","30.5","23.97","Persian Gulf","57.12","47.7","Gulf subarea","Subárea Golfo","Sous-zone Golfe","51.2"
"true","Western Arabian Sea (Subarea 51.3)","51.3","355","26.37","10","","65","42.51","Western Arabian Sea subarea","Subárea mar Árabe occidental","Sous-zone mer Arabe occidental","51.3"
"true","Eastern Arabian Sea, Laccadives (Subarea 51.4)","51.4","356","25.61","-10","","80","61","Indian Ocean, West / 51.4","Ind W / 51.4","Ind W / 51.4","51.4"
"true","Somalia, Kenya and Tanzania (Subarea 51.5)","51.5","357","10","-10.47","","65","38.78","Indian Ocean, West / 51.5","Ind W / 51.5","Ind W / 51.5","51.5"
"true","Madagascar and Mozambique Channel (Subarea 51.6)","51.6","358","-10","-30","","55","40","Indian Ocean, West / 51.6","Ind W / 51.6","Ind W / 51.6","51.6"
"true","Oceanic (Subarea 51.7)","51.7","359","-10","-45","Western Indian Ocean Oceanic Subarea 51.7","80","40","Indian Ocean, West / 51.7","Ind W / 51.7","Ind W / 51.7","51.7"
"true","Mozambique (Subarea 51.8)","51.8","360","-16.19","-45","","40","30","Indian Ocean, West / 51.8","Ind W / 51.8","Ind W / 51.8","51.8"
"true","Bay of Bengal (Subarea 57.1)","57.1","361","22.75","0","","101.87","77","Indian Ocean, East / 57.1","Ind E / 57.1","Ind E / 57.1","57.1"
"true","Northern (Subarea 57.2)","57.2","362","5","-15","Eastern Indian Ocean Northern Subarea 57.2","113.47","80","Indian Ocean, East / 57.2","Ind E / 57.2","Ind E / 57.2","57.2"
"true","Central (Subarea 57.3)","57.3","363","-15","-35","Eastern Indian Ocean Central Subarea 57.3","110","80","Indian Ocean, East / 57.3","Ind E / 57.3","Ind E / 57.3","57.3"
"true","Oceanic (Subarea 57.4)","57.4","364","-35","-55","Eastern Indian Ocean Oceanic Subarea 57.4","150","80","Indian Ocean, East / 57.4","Ind E / 57.4","Ind E / 57.4","57.4"
"true","Western Australia (Subarea 57.5)","57.5","365","","","","","","Indian Ocean, East / 57.5","Ind E / 57.5","Ind E / 57.5","57.5"
"true","Southern Australia (Subarea 57.6)","57.6","366","-31.54","-45","","150","129","Indian Ocean, East / 57.6","Ind E / 57.6","Ind E / 57.6","57.6"
"true","Enderby-Wilkes (Subarea 58.4)","58.4","367","","","","","","Indian Antarctic 58.4","Ind Antar 58.4","Ind Antar 58.4","58.4"
"true","Kerguelen, McDonald (Subarea 58.5)","58.5","368","","","","","","Indian Antarctic 58.5","Ind Antar 58.5","Ind Antar 58.5","58.5"
"true","Crozet (Subarea 58.6)","58.6","369","-45","-50","","60","40","Indian Antarctic 58.6","Ind Antar 58.6","Ind Antar 58.6","58.6"
"true","Marion-Edward (Subarea 58.7)","58.7","370","-45","-50","","40","30","Indian Antarctic 58.7","Ind Antar 58.7","Ind Antar 58.7","58.7"
"false","","71.1","371","2.5","-1.03","","105","100.26","Pacific, West central / 71.1","Pac WC / 71.1","Pac WC / 71.1",""
"false","","71.2","372","15","-1","","115.46","99.15","Pacific, West central / 71.2","Pac WC / 71.2","Pac WC / 71.2",""
"false","","71.3","373","20","4.16","","130","115","Pacific, West central / 71.3","Pac WC / 71.3","Pac WC / 71.3",""
"false","","71.4","374","5","-11.5","","141","104.36","Pacific, West central / 71.4","Pac WC / 71.4","Pac WC / 71.4",""
"false","","71.5","375","-10","-17.71","","142.17","129","Pacific, West central / 71.5","Pac WC / 71.5","Pac WC / 71.5",""
"false","","71.6","376","","","","","","Pacific, West central / 71.6","Pac WC / 71.6","Pac WC / 71.6",""
"false","","71.7","377","5","-25","","180","-180","Pacific, West central / 71.7","Pac WC / 71.7","Pac WC / 71.7",""
"false","","71.8","378","-7.4","-28.15","","155","141","Pacific, West central / 71.8","Pac WC / 71.8","Pac WC / 71.8",""
"false","","81.1","379","","","","","","Pacific, Southwest / 81.1","Pac SW / 81.1","Pac SW / 81.1",""
"false","","81.2","380","-45","-60","","165","150","Pacific, Southwest / 81.2","Pac SW / 81.2","Pac SW / 81.2",""
"false","","81.3","381","-25","-35","","180","-180","Pacific, Southwest / 81.3","Pac SW / 81.3","Pac SW / 81.3",""
"false","","81.4","382","-35","-47","","175.25","165","Pacific, Southwest / 81.4","Pac SW / 81.4","Pac SW / 81.4",""
"false","","81.5","383","-35","-47","","180","-180","Pacific, Southwest / 81.5","Pac SW / 81.5","Pac SW / 81.5",""
"false","","81.6","384","-45","-60","","180","-180","Pacific, Southwest / 81.6","Pac SW / 81.6","Pac SW / 81.6",""
"false","","81.7","385","-25","-60","","-120","-165","Pacific, Southwest / 81.7","Pac SW / 81.7","Pac SW / 81.7",""
"true","Eastern Ross Sea (Subarea 88.1)","88.1","386","-60","-78.45","","180","-180","Pacific Antarctic / 88.1","Pac Antar / 88.1","Pac Antar / 88.1",""
"true","Western Ross Sea (Subarea 88.2)","88.2","387","-60","-78.56","","-105","-170","Pacific Antarctic / 88.2","Pac Antar / 88.2","Pac Antar / 88.2",""
