"Identifier","Code","Name_En","Name_Fr","Name_Es","Area Size","Longitude_min","Longitude_max","Latitude_min","Latitude_max","CWP_Handbook_Name","Local_Name","Standard_Regional_Code"
"641","27.3.b.23","Sound (Subdivision 27.3.b.23)","Øresund (Sous-division 27.3.b.23)","Sund (Subdivisión 27.3.b.23)","2208","12.2","13","55.32","56.29","Sound (Subdivision 27.3.b.23)","","27.3.b.23"
"644","27.2.a.1","Norwegian Sea - NEAFC Regulatory Area (Division 27.2.a.1)","Mer de Norvège - CPANE (Division 27.2.a.1)","Mar de Noruega - CPANE (División 27.2.a.1)","","","","","","Norwegian Sea - NEAFC Regulatory Area (Division 27.2.a.1)","","27.2.a.1"
"645","27.2.a.2","Norwegian Sea Non-NEAFC Regulatory Area (Division 27.2.a.2)","Mer de Norvège - non-CPANE (Division 27.2.a.2)","Mar de Noruega Non-CPANE (División 27.2.a.2)","","","","","","Norwegian Sea Non-NEAFC Regulatory Area (Division 27.2.a.2)","","27.2.a.2"
"646","27.2.b.1","Spitzbergen and Bear Island - NEAFC Regulatory Area (Division 27.2.b.1)","Spitzberg et île aux Ours - CPANE (Division 27.2.b.1)","Spitzbergen e Islas Osos - CPANE (División 27.2.b.1)","","","","","","Spitzbergen and Bear Island - NEAFC Regulatory Area (Division 27.2.b.1)","","27.2.b.1"
"647","27.2.b.2","Spitzbergen and Bear Island Non-NEAFC Regulatory Area (Division 27.2.b.2)","Spitzberg et île aux Ours - non-CPANE (Division 27.2.b.2)","Spitzbergen e Islas Osos Non-CPANE (División 27.2.b.2)","","","","","","Spitzbergen and Bear Island Non-NEAFC Regulatory Area (Division 27.2.b.2)","","27.2.b.2"
"650","27.5.a.1","Northern Reykjanes Ridge (Subdivision 27.5.a.1)","Fonds de l'Islande (Sous-division 27.5.a.1)","Fondos de Islandia (Subdivisión 27.5.a.1)","","","","","","Northern Reykjanes Ridge (Subdivision 27.5.a.1)","","27.5.a.1"
"651","27.5.a.2","Icelandic Shelf (Subdivision 27.5.a.2)","Fonds de l'Islande (Sous-division 27.5.a.2)","Fondos de Islandia (Subdivisión 27.5.a.2)","","","","","","Icelandic Shelf (Subdivision 27.5.a.2)","","27.5.a.2"
"654","27.6.b.1","Rockall - Part of NEAFC area I (Subdivision 27.6.b.1)","Rockall - Partie de CPANE (Sous-division 27.6.b.1)","Rockall - Parte de CPANE (Subdivisión 27.6.b.1)","","","","","","Rockall - Part of NEAFC area I (Subdivision 27.6.b.1)","","27.6.b.1"
"655","27.6.b.2","Rockall Non-NEAFC area (Subdivision 27.6.b.2)","Rockall - Partie de non-CPANE (Sous-division 27.6.b.2)","Rockall Non-CPANE (Subdivisión 27.6.b.2)","","","","","","Rockall Non-NEAFC area (Subdivision 27.6.b.2)","","27.6.b.2"
"656","27.7.c.1","Porcupine Bank - NEAFC Regulatory Area (Subdivision 27.7.c.1)","Banc de Porcupine - CPANE (Sous-division 27.7.c.1)","Porcupine Bank - CPANE (Subdivisión 27.7.c.1)","","","","","","Porcupine Bank - NEAFC Regulatory Area (Subdivision 27.7.c.1)","","27.7.c.1"
"657","27.7.c.2","Porcupine Bank Non-NEAFC Regulatory Area (Subdivision 27.7.c.2)","Banc de Porcupine - non-CPANE (Sous-division 27.7.c.2)","Porcupine Bank Non-CPANE (Subdivisión 27.7.c.2)","","","","","","Porcupine Bank Non-NEAFC Regulatory Area (Subdivision 27.7.c.2)","","27.7.c.2"
"658","27.7.j.1","Southwest of Ireland - East - Parts of the NEAFC Regulatory Area (Subdivision 27.7.j.1)","Sud-ouest de l'Irlande - Est - Partie de CPANE (Sous-division 27.7.j.1)","Sudoeste de Irlanda - Este - Parte de CPANE (Subdivisión 27.7.j.1)","","","","","","Southwest of Ireland - East - Parts of the NEAFC Regulatory Area (Subdivision 27.7.j.1)","","27.7.j.1"
"659","27.7.j.2","Southwest of Ireland - East Non-NEAFC Regulatory Area (Subdivision 27.7.j.2)","Sud-ouest de l'Irlande - Est - Partie de non-CPANE (Sous-division 27.7.j.2)","Sudoeste de Irlanda - Este Non-CPANE (Subdivisión 27.7.j.2)","","","","","","Southwest of Ireland - East Non-NEAFC Regulatory Area (Subdivision 27.7.j.2)","","27.7.j.2"
"660","27.7.k.1","Southwest of Ireland - West - Part of the NEAFC Regulatory Area (Subdivision 27.7.k.1)","Sud-ouest de l'Irlande - Ouest - Partie de CPANE (Sous-division 27.7.k.1)","Sudoeste de Irlanda - Oeste - Parte de CPANE (Subdivisión 27.7.k.1)","","","","","","Southwest of Ireland - West - Part of the NEAFC Regulatory Area (Subdivision 27.7.k.1)","","27.7.k.1"
"661","27.7.k.2","Southwest of Ireland - West - Part of the Non-NEAFC Area I (Subdivision 27.7.k.2)","Sud-ouest de l'Irlande - Ouest - Partie de non-CPANE (Sous-division 27.7.k.2)","Sudoeste de Irlanda - Oeste Non-CPANE (Subdivisión 27.7.k.2)","","","","","","Southwest of Ireland - West - Part of the Non-NEAFC Area I (Subdivision 27.7.k.2)","","27.7.k.2"
"662","27.8.d.1","Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area (Subdivision 27.8.d.1)","Golfe de Gascogne - Large - Partie de CPANE (Sous-division 27.8.d.1)","Golfo de Vizcaya - alta mar - Partes de CPANE (Subdivisión 27.8.d.1)","","","","","","Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area (Subdivision 27.8.d.1)","","27.8.d.1"
"663","27.8.d.2","Bay of Biscay - Offshore Non-NEAFC Regulatory Area (Subdivision 27.8.d.2)","Golfe de Gascogne - Large - Partie de non-CPANE (Sous-division 27.8.d.2)","Golfo de Vizcaya - alta mar Non-CPANE (Subdivisión 27.8.d.2)","","","","","","Bay of Biscay - Offshore Non-NEAFC Regulatory Area (Subdivision 27.8.d.2)","","27.8.d.2"
"664","27.8.e.1","West of Bay of Biscay - Parts in NEAFC Regulatory Area (Subdivision 27.8.e.1)","Ouest du golfe de Gascogne - Partie de CPANE (Sous-division 27.8.e.1)","Oeste del Golfo de Vizcaya - Partes de CPANE (Subdivisión 27.8.e.1)","","","","","","West of Bay of Biscay - Parts in NEAFC Regulatory Area (Subdivision 27.8.e.1)","","27.8.e.1"
"665","27.8.e.2","West of Bay of Biscay Non-NEAFC Regulatory Area (Subdivision 27.8.e.2)","Ouest du golfe de Gascogne - Partie de non-CPANE (Sous-division 27.8.e.2)","Oeste del Golfo de Vizcaya Non-CPANE (Subdivisión 27.8.e.2)","","","","","","West of Bay of Biscay Non-NEAFC Regulatory Area (Subdivision 27.8.e.2)","","27.8.e.2"
