"Country","Major_Area"
"3","13"
"4","13"
"5","23"
"7","15"
"8","11"
"9","14"
"10","18"
"10","22"
"10","24"
"12","11"
"13","17"
"14","11"
"16","18"
"17","11"
"21","14"
"22","11"
"23","11"
"24","17"
"25","22"
"26","22"
"27","13"
"28","18"
"31","16"
"32","12"
"33","8"
"33","9"
"33","21"
"35","12"
"36","11"
"38","18"
"40","25"
"41","20"
"42","18"
"43","18"
"44","11"
"44","25"
"45","17"
"46","12"
"47","23"
"48","11"
"48","23"
"49","11"
"50","13"
"53","12"
"54","10"
"55","11"
"56","11"
"58","25"
"59","13"
"59","17"
"60","23"
"61","12"
"62","17"
"63","10"
"64","10"
"65","14"
"66","22"
"67","10"
"68","10"
"68","13"
"69","11"
"70","23"
"71","17"
"72","17"
"73","13"
"74","12"
"75","12"
"79","10"
"80","13"
"81","12"
"82","13"
"83","22"
"83","23"
"84","13"
"85","8"
"85","9"
"85","10"
"86","11"
"87","11"
"88","22"
"89","11"
"89","23"
"90","12"
"91","11"
"92","19"
"93","11"
"95","11"
"95","23"
"96","20"
"98","13"
"99","10"
"100","17"
"100","18"
"101","18"
"101","22"
"102","17"
"103","17"
"104","10"
"105","13"
"105","17"
"106","13"
"107","12"
"109","11"
"110","20"
"112","17"
"114","17"
"115","22"
"116","20"
"117","20"
"118","17"
"119","10"
"121","13"
"123","12"
"124","13"
"126","10"
"127","22"
"128","20"
"129","17"
"131","18"
"131","22"
"132","17"
"134","13"
"135","11"
"136","12"
"137","17"
"138","11"
"138","23"
"140","13"
"142","11"
"143","12"
"143","13"
"144","17"
"145","22"
"147","15"
"148","22"
"150","10"
"151","11"
"153","22"
"155","22"
"156","24"
"157","11"
"157","23"
"159","12"
"160","23"
"161","24"
"162","10"
"163","22"
"165","17"
"166","11"
"166","23"
"168","22"
"170","25"
"171","22"
"172","24"
"173","10"
"174","10"
"174","12"
"175","12"
"176","18"
"177","11"
"178","17"
"179","17"
"180","22"
"182","17"
"183","13"
"185","8"
"185","10"
"185","13"
"185","20"
"185","21"
"186","13"
"187","15"
"188","11"
"189","11"
"190","9"
"191","11"
"193","12"
"194","17"
"195","12"
"196","17"
"197","12"
"198","13"
"200","22"
"201","17"
"202","15"
"202","17"
"203","10"
"203","12"
"203","13"
"205","12"
"206","17"
"207","11"
"210","10"
"212","13"
"214","20"
"215","17"
"216","18"
"216","22"
"217","12"
"218","23"
"219","23"
"220","11"
"221","17"
"222","13"
"223","13"
"224","11"
"225","17"
"227","22"
"228","8"
"228","10"
"228","13"
"228","20"
"228","21"
"229","10"
"230","13"
"231","8"
"231","9"
"231","11"
"231","21"
"231","23"
"232","23"
"234","14"
"236","11"
"237","22"
"238","17"
"239","11"
"240","11"
"243","22"
"244","23"
"248","13"
"249","17"
"250","12"
"255","10"
"258","11"
"259","10"
"260","10"
"264","10"
"270","17"
"271","16"
"273","13"
"276","17"
"282","10"
"283","11"
"284","10"
"285","10"
"286","11"
"287","11"
"288","11"
"289","11"
"298","17"
"299","13"
